"BillType","BillNumber","Sequence","Sponsor","Type","Status","SponDate","WithDate","ModDate"
"S",2045,17,"Tiver, Latham","C","A",5/9/2024 0:00:00,,5/9/2024 0:00:00
"S",2045,18,"Henry, Owen","C","A",6/3/2024 0:00:00,,6/3/2024 0:00:00
"S",2045,19,"Zwicker, Andrew","C","A",6/24/2024 0:00:00,,6/24/2024 0:00:00
"S",2046,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2046,2,"Turner, Shirley K.","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2046,3,"Pou, Nellie","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2047,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2047,2,"Greenstein, Linda R.","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2048,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2048,2,"Zwicker, Andrew","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2049,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2050,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2050,2,"Stack, Brian P.","P","A",6/13/2024 0:00:00,,6/13/2024 0:00:00
"S",2050,3,"Bramnick, Jon M.","C","A",6/13/2024 0:00:00,,6/13/2024 0:00:00
"S",2050,4,"Testa, Michael L.","C","A",6/13/2024 0:00:00,,6/13/2024 0:00:00
"S",2050,5,"Corrado, Kristin M.","C","A",6/13/2024 0:00:00,,6/13/2024 0:00:00
"S",2050,6,"Bucco, Anthony M.","C","A",6/13/2024 0:00:00,,6/13/2024 0:00:00
"S",2050,7,"McKnight, Angela V.","C","A",6/24/2024 0:00:00,,6/24/2024 0:00:00
"S",2050,8,"Turner, Shirley K.","C","A",9/12/2024 0:00:00,,9/12/2024 0:00:00
"S",2051,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2051,2,"Singleton, Troy","P","A",3/17/2025 0:00:00,,3/17/2025 0:00:00
"S",2051,3,"Carter, Linda S.","P","A",12/22/2025 0:00:00,,12/22/2025 0:00:00
